Timestamp,ID,Rank,Title,Artist,Genre,Album,Number of Plays
11/7/2025 9:39:23,Hazel,10,Billionaire,Bruno Mars,Pop,Lazarue- Travie,40
11/7/2025 9:41:11,Hazel,9,attention,Charlie puth,Pop,voicenote,10
11/7/2025 9:42:30,Hazel,10,walk in the woods,Benson Boone,Pop,(single .EP),30
11/7/2025 9:44:31,Hazel,10,"The sun goes down, the sun comes up",TobyMac,Pop,Life after Death,25
11/7/2025 9:48:29,Hazel,10,Shape of you,Ed Sheeran,Pop,(deluxe),30
11/7/2025 9:52:29,Hazel,10,Story of my life,One Direction,Pop,Midnight Memories,40
11/7/2025 11:25:09,Asher,10,Manchild,Sabrina Carpenter,Pop,Manchild,79
11/7/2025 11:26:10,Asher,5,HEAR ME OUT,AmaLee,Pop,HEAR ME OUT,490
11/7/2025 13:01:50,John,1,too sweet,hozier,Pop,unreal unearth,100
11/7/2025 13:05:10,John,3,take me to church,hozier,Pop,2014 debut,150
11/7/2025 13:06:45,John,4,just my type,the vamps,Pop,Single,50
11/7/2025 13:08:55,John,6,I'm not famous,AJR,Pop,the click,60
11/7/2025 13:36:28,Chloe,4,Itazura,Koven Wei,Pop,itazura - Single,65
11/7/2025 13:45:48,Ellie,3,Stitches,Shawn Mendes,Pop,Handwritten,51
11/7/2025 13:48:05,Ellie,7,Firework,Katy Perry,Pop,Teenage Dream,83
11/7/2025 19:42:14,Luca,2,Why Would I?,Nelward,Pop,Single,50
11/7/2025 19:47:16,Luca,6,Dead Weight,Jack Stauber,Pop,HiLo,40
11/7/2025 20:56:40,Lily,5,Sleeptalk,Dayseeker,Pop,Sleeptalk,190
11/7/2025 20:59:49,Elias,8,free,rumi,Pop,Single,30
11/7/2025 21:12:49,Elias,1,this is what heartbreak feels like,JVKE,Pop,Single,25
11/7/2025 22:29:56,Alexander,2,Fine China,Chris Brown,Pop,X (Expanded Edition),25
11/7/2025 23:17:10,Dylan,3,Call Me Maybe,Carly Rae Jepson,Pop,Single,500
11/8/2025 0:22:53,Julian,4,Overwhelmed - (Ryan Mack Remix),Ryan Mack,Pop,Single,500
11/8/2025 16:38:54,Daniel,4,Half A Man,Dean Lewis,Pop,A Place We Knew,200
11/8/2025 16:40:34,Daniel,5,She Used To Be Mine,Sara Bareilles,Pop,Single,150
11/8/2025 16:42:45,Daniel,6,Too Good At Goodbyes,Sam Smith,Pop,The Thrill Of It All,150
11/8/2025 16:43:28,Daniel,7,Dancing on my own,Calum Scott,Pop,Only Human,150
11/8/2025 16:45:39,Daniel,8,7 Years,Lukas Graham,Pop,Lukas Graham,100
11/8/2025 16:47:00,Daniel,9,When We Were Young,Adele,Pop,25,500
11/8/2025 16:47:58,Daniel,10,Slow It Down,Benson Boone,Pop,Fireworks & Rollerblades,200
11/7/2025 22:31:03,Alexander,3,Confident,Justin Bieber,Pop,Journals,15
11/3/2025 20:48:03,Sofia,8,Eternity,Alex Warren,Pop,"You'll Be Alright, Kid",50
11/7/2025 19:10:35,Nora,5,Win Win,"Set It Off, Scene Queen",Pop,Single,20
11/4/2025 12:53:20,Camila,10,THE WORLD IS ENDING,Lil Darkie,Pop,Single,300
11/3/2025 15:32:10,Elijah,9,Reprise,Total Head,Pop,Wishing Well Demos,115
11/3/2025 18:49:13,William,7,Fingerprints,Katy Perry,Pop,One of the Boys,50
11/3/2025 20:48:45,Sofia,9,I Ain't Worried,OneRepublic,Pop,I Ain’t Worried (Music From The Motion Picture “Top Gun: Maverick”),50
11/3/2025 21:12:14,Benjamin,3,Hooked on a feeling,Blue Swede,Pop,Hooked on a feeling,75
11/3/2025 21:25:10,Benjamin,8,I want to break free,Queen,Pop,The works,65
11/3/2025 21:27:29,Benjamin,10,Don't Stop Me Now,Queen,Pop,Jazz,55
11/5/2025 18:10:04,Violet,10,We Don't Have To Dance,Andy Black,Pop,The Shadow Side,45
11/7/2025 13:50:15,Ellie,10,Maps,Maroon 5,Pop,V,78
11/7/2025 19:16:27,Nora,10,Making A Monster,The Hoosiers,Pop,Confidence,70
11/3/2025 20:45:45,Sofia,5,The Door,Teddy Swims,Pop,I've Tried Everything But Therapy (Part 1),100
11/5/2025 15:15:16,Luna,9,Praises,Elevation Rythm,Pop,This is the Gospel,58
11/5/2025 10:59:32,Harper,4,Demons,Imagine Dragons,Pop,Night Visions,75
11/5/2025 11:00:37,Harper,6,Good Life,OneRepublic,Pop,Waking Up,65
11/5/2025 11:02:16,Harper,8,Paradise,Coldplay,Pop,Mylo Xyloto,45
11/7/2025 11:22:53,Asher,9,Perfect Dreams,Cjbeards,Pop,Perfect Dreams,100
11/7/2025 9:35:04,Hazel,5,The A team,Ed Sheeran,Pop,+,3
11/6/2025 14:02:43,James,4,Hey Ya!,Outcast,Pop,Speakerboxxx/The Love Below,40
11/3/2025 15:10:10,Henry,10,Lalala,"Y2K, bbno$",Pop,lalala,15
11/3/2025 15:23:37,Henry,6,Two Princes,Spin Docters,Pop,Two Princes,24
11/8/2025 0:01:23,Julian,10,Enemies,The Score,Pop,Enemies,100
11/8/2025 0:02:12,Julian,9,Revolution,The Score,Pop,ATLAS,150
11/3/2025 15:08:15,Noah,4,Bad Man,FIGHTMASTER,Pop,Bad Man,200
11/3/2025 15:10:03,Noah,7,QUEEN OF THE NIGHT,The Vanished People,Pop,QUEEN OF THE NIGHT,300
11/4/2025 18:01:47,Theodore,7,Let It Happen,Tame Impala,Pop,Currents,48
11/6/2025 9:46:20,Elizabeth,1,Gooey,Glass animals,Pop,Zaba,40
11/7/2025 8:24:38,Elizabeth,4,Eventually,Tame Impala,Pop,Currents,35
11/3/2025 9:40:36,Liam,7,Tension,Diljit Dosanjh,Pop,Advisory (EP),150
11/3/2025 9:42:47,Liam,9,White Brown Black,"Avvy Sra, Karan Aujla, Jaani",Pop,White Brown Black (Single),100
11/3/2025 9:44:04,Liam,10,Jatt Da Muqabala,Sidhu Moose Wala,Pop,PBX 1,100
11/3/2025 20:45:02,Sofia,4,Always Remember Us This Way,Lady Gaga,Pop,A Star Is Born Soundtrack,100
11/3/2025 20:46:52,Sofia,6,Damn I Love Miami,"Pitbull, Lil Jon",Pop,Bad Boys For Life Soundtrack,80
11/4/2025 18:08:44,Theodore,10,Eyes Without A Face,Billy Idol,Pop,Rebel Yell,19
11/7/2025 23:11:19,Aria,2,Fireflies,Owl City,Pop,Ocean Eyes,84
11/7/2025 22:29:26,Aria,7,My Way,Frank Sinatra,Pop,My Way,32
11/7/2025 13:44:37,Ellie,2,Stay,Rihanna feat. Mikky Ekko,Pop,Unapologetic,45
11/6/2025 15:03:14,Ethan,5,2010,Squid,Punk,Bright Green Field,26
11/6/2025 12:31:53,Eliana,4,Banned From the Roxy,Crass,Punk,The Feeding of the Five Thousand (The Second Sitting),50
11/7/2025 22:35:44,Alexander,7,Beautiful Girls,Sean Kingston,R&B,Beautiful Girls,10
11/3/2025 15:10:45,Emma,7,Headlines,Drake,R&B,Single,75
11/5/2025 11:04:11,Harper,9,Reasons,"Earth, Wind & Fire",R&B,That's the Way of the World,35
11/6/2025 11:19:15,Michael,1,White Ferrari,Frank Ocean,R&B,Blonde,50
11/6/2025 11:29:44,Michael,2,Pyramids,Frank Ocean,R&B,Channel ORANGE,40
11/6/2025 11:38:09,Michael,3,Pink Matter,Frank Ocean,R&B,Channel ORANGE,35
11/6/2025 11:44:26,Michael,4,Nights,Frank Ocean,R&B,Blonde,70
11/6/2025 11:55:26,Michael,9,We Are The People,Empire Of The Sun,R&B,Walking On A Dream,30
11/7/2025 22:32:32,Alexander,4,Miss Independant,Ne-Yo,R&B,Year Of The Gentleman,15
11/6/2025 14:03:53,James,5,Pump It,The Black Eyed Peas,R&B,Monkey Business,50
11/7/2025 22:33:20,Alexander,5,Passionfruit,Drake,R&B,More Life,20
11/7/2025 22:28:41,Alexander,1,Best Part,Daniel Caesar,R&B,Freudian,25
11/6/2025 4:29:03,Samuel,7,After the Storm,Kali Uchis; Tyler the Creator,R&B,Isolation,4
11/6/2025 4:14:21,Samuel,1,Japanese Denim,Daniel Caesar,R&B,Get You - Single,5
11/3/2025 9:33:55,Liam,2,So High,Sidhu Moose Wala,Rap,Single,210
11/4/2025 12:54:30,Camila,9,Brain Damage,Eminem,Rap,The Slim Shady LP,300
11/4/2025 13:00:46,Camila,4,Back in Blood,Pooh Shiesty,Rap,Shiesty Season,800
11/5/2025 15:06:32,Luna,1,Motto,NF,Rap,HOPE,258
11/5/2025 15:08:21,Luna,3,The Search,NF,Rap,The Search,114
11/6/2025 11:52:18,Michael,8,Ghoul,Ken Carson,Rap,More Chaos,50
11/7/2025 11:20:53,Asher,8,Pokemon Type Cypher Volume 4,Flint 4k,Rap,Single,100
11/7/2025 19:37:54,Luca,1,lil' freak,bbno$,Rap,lil' freak,50
11/7/2025 19:46:13,Luca,5,I See London I See France,bbno$,Rap,bag or die,40
11/7/2025 19:52:25,Luca,10,hot topic,bbno$,Rap,Single,40
11/6/2025 4:27:20,Samuel,6,Pride,Kendrick Lamar,Rap,Damn,1
11/4/2025 13:05:38,Camila,1,DON'T TREAD ON ME,Lil Darkie,Rap,LIL DARKIE CLASSICS,1000
11/7/2025 9:33:19,Hazel,3,Gin and Juice,SnoopDogg,Rap,DoggyStyle,2
11/3/2025 15:17:18,Mateo,5,Greenbelt Station,Origami Angel,Rock,Origami Angel Broke Minecraft,122
11/3/2025 16:29:06,Ava,5,Fake Plastic Trees,Radiohead,Rock,The Bends,50
11/3/2025 16:39:26,Ava,8,Cemetry Gates,The Smiths,Rock,The Queen is Dead,100
11/3/2025 16:40:21,Ava,9,Panic,The Smiths,Rock,Louder Than Bombs,200
11/3/2025 15:07:01,Emma,2,Let Down,Radiohead,Rock,Single,200
11/3/2025 15:07:53,Emma,3,Black,Pearl Jam,Rock,Single,100
11/3/2025 15:08:36,Theodore,2,Let Down,Radiohead,Rock,OK Computer,46
11/3/2025 15:13:07,Theodore,5,I Appear Missing,Queens of the Stone Age,Rock,...Like Clockwork,62
11/3/2025 15:17:48,Elijah,3,High and Dry,Radiohead,Rock,The Bends,146
11/4/2025 18:06:29,Theodore,9,Debaser,Pixies,Rock,Doolittle,29
11/6/2025 11:46:43,Michael,5,Let Down,Radiohead,Rock,OK Computer,30
11/6/2025 11:48:36,Michael,6,All I Need,Radiohead,Rock,In Rainbows,25
11/7/2025 8:32:24,Elizabeth,6,Nobody's Listening,Linkin Park,Rock,Meteora,40
11/7/2025 13:46:54,Ellie,5,Mr. Brightside,The Killers,Rock,Hot Fuss,60
11/3/2025 21:26:20,Benjamin,9,We Will Rock You,Queen,Rock,News of the world,35
11/6/2025 12:42:00,Eliana,9,I feel free,Cream,Rock,Fresh Cream,30
11/6/2025 12:30:26,Eliana,3,"It's all over now, Baby Blue",Bob Dylan,Rock,Bringing it all back home,60
11/3/2025 21:23:01,Benjamin,7,Another one bites the dust,Queen,Rock,The Game,100
11/3/2025 16:36:00,Ava,6,Lullaby,The Cure,Rock,Disintegration,100
11/7/2025 20:52:49,Lily,1,Song 3,Baby Metal & Slaughter to Prevail,Rock,METAL FORTH,300
11/3/2025 15:07:12,Noah,2,Lover Lover,Jonny's Day Out,Rock,"Bear, Hello",350
11/3/2025 15:14:58,Mateo,4,cold weather,glass beach,Rock,the first glass beach album,122
11/3/2025 15:22:31,Isabella,4,Dark Dream (和声伴奏),希林娜依·高,Rock,Dark Dream (《诡秘之主小丑篇》动画片尾曲),100
11/3/2025 15:31:03,Elijah,10,Back to The Old House,The Smiths,Rock,Louder Than Bombs,115
11/3/2025 21:29:21,Benjamin,1,Knee Deep at ATP,Lovejoy,Rock,Knee Deep at ATP,150
11/5/2025 15:12:36,Sebastian,3,Drifting,Good Kid,Rock,Good Kid 2,300
11/5/2025 15:15:49,Jack,2,dark necessities,Red Hot Chili Peppers,Rock,The Getaway,30
11/5/2025 17:49:31,Violet,2,Nostalgia,Mother Mother,Rock,Nostalgia,85
11/5/2025 18:00:47,Violet,6,High Horse (Live),The Crane Wives,Rock,High Horse (Live),35
11/6/2025 12:36:59,Eliana,5,Heavy Metal Drummer,Wilco,Rock,Yankee Hotel Foxtrot,80
11/7/2025 19:08:39,Nora,4,Need You Here,I DONT KNOW HOW BUT THEY FOUND ME,Rock,Razzmatazz,30
11/7/2025 19:15:04,Nora,9,Parlami (A Hundred Flowers),The Vanished People,Rock,Single,10
11/6/2025 14:57:20,Ethan,1,953,black midi,Rock,Schlagenheim,41
11/6/2025 15:01:45,Ethan,3,World's Fair,Stratford Rise,Rock,Single,32
11/7/2025 21:18:58,Elias,3,so far so fake,pierce the veil,Rock,the jaws of life,30
11/7/2025 21:06:11,Elias,6,sympathy,too close to touch,Rock,havent been myself,18
11/6/2025 15:07:11,Ethan,8,Breadcrumb Trail,Slint,Rock,Spiderland,13
11/6/2025 12:39:04,Eliana,7,Kaleidoscope,Procol Harum,Rock,Procol Harum,30
11/3/2025 15:07:12,Theodore,1,Comfortably Numb,Pink Floyd,Rock,The Wall,82
11/6/2025 12:27:32,Eliana,1,Wasn't born to follow,The Byrds,Rock,The Notorious Byrd Brothers,50
11/6/2025 12:28:09,Eliana,2,Echoes,Pink Floyd,Rock,Meddle,40
11/6/2025 12:38:02,Eliana,6,Lather,Jefferson Airplane,Rock,Crown of Creation,90
11/3/2025 15:07:44,Noah,3,Scotty Doesn't Know,Lustra,Rock,Left for Dead,700
11/3/2025 15:08:15,Amelia,2,Thunderstruck,ACDC,Rock,The Razors Edge,900
11/3/2025 15:10:37,Theodore,3,Don't Dream It's Over,Crowded Housed,Rock,Crowded House,35
11/3/2025 15:14:09,Isabella,2,Thunderstruck,AC/DC,Rock,The Razors Edge,500
11/3/2025 15:15:53,Elijah,5,Wish You Were Here,Pink Floyd,Rock,Wish You Were Here,116
11/3/2025 15:17:53,Henry,2,Brain Stew,Green Day,Rock,Insomniac,35
11/3/2025 15:18:31,Amelia,8,Old Time Rock & Roll,Bob Segar,Rock,Stranger In Town,600
11/3/2025 15:20:59,Amelia,9,Don't Stop Believin',Journey,Rock,Escape,600
11/3/2025 15:22:13,Elijah,1,Have a Cigar,Pink Floyd,Rock,Wish You Were Her,219
11/3/2025 15:23:06,Elijah,7,Money For Nothing,Dire Straits,Rock,Brothers in Arms,127
11/3/2025 15:25:22,Elijah,2,Hey You,Pink Floyd,Rock,The Wall,207
11/3/2025 15:27:31,Elijah,3,Bohemian Rhapsody,Queen,Rock,A Night at The Opera,192
11/3/2025 15:32:52,Isabella,9,Crazy Train,Ozzy Osborne,Rock,Blizzard of Ozz,350
11/3/2025 15:33:42,Henry,7,Slow Ride,Foghat,Rock,Slow Ride,22
11/3/2025 15:56:20,Lucas,1,Separate Ways,Journey,Rock,Frontiers,70
11/3/2025 15:57:03,Lucas,10,Hotel California,Eagles,Rock,Hotel California,55
11/3/2025 15:58:19,Lucas,3,Sweet Emotion,Aerosmith,Rock,Toys in the Attic,60
11/3/2025 15:59:07,Lucas,9,Holding Out for a Hero,Bonnie Tyler,Rock,Secret Dreams and Forbidden Fire,45
11/3/2025 16:03:34,Lucas,8,Space Oddity,David Bowie,Rock,Space Oddity,40
11/3/2025 18:59:05,William,9,American Girl,Tom Petty and the Heartbreakers,Rock,Tom Petty and the Heartbreakers,25
11/3/2025 20:44:17,Sofia,3,No Good,Kaleo,Rock,A/B,200
11/3/2025 21:10:26,Benjamin,2,Mr. Blue Sky,ELO,Rock,Out of the blue,50
11/3/2025 21:13:56,Benjamin,4,Bohemian Rapsody,Queen,Rock,Bohemian Rapsody,100
11/3/2025 21:16:10,Benjamin,5,Back in Black,ACDC,Rock,Back in Black,15
11/4/2025 14:17:07,Levi,2,Thunder Road,Bruce Springsteen,Rock,Born To Run,500
11/4/2025 14:18:22,Levi,3,Badlands,Bruce Springsteen,Rock,Darkness On The Edge Of Town,500
11/4/2025 14:23:14,Levi,7,Gotta Be Somebody,Nickeback,Rock,Dark Horse,400
11/4/2025 14:25:25,Levi,9,Seperate Ways (Worlds Apart),Journey,Rock,Frontiers,300
11/5/2025 11:05:41,Harper,10,You Give Love a Bad Name,Bon Jovi,Rock,Slippery When Wet,30
11/5/2025 15:03:44,Ezra,3,Floral and Fading,Pierce the Veil,Rock,Misadventures,77
11/5/2025 15:04:34,Ezra,4,Emergency Contact,Pierce the Veil,Rock,The Jaws of Life,53
11/5/2025 15:07:28,Luna,2,Everlong,Foo Fighters,Rock,The Color and the Shape,136
11/5/2025 15:11:34,Luna,6,Burn it to the Ground,Nickelback,Rock,Dark Horse,88
11/5/2025 15:14:28,Luna,8,How you remind me,Nickelback,Rock,silver side up,67
11/5/2025 21:04:03,Aurora,4,Fake Plastic Trees,Radiohead,Rock,The Bends,500
11/5/2025 21:04:48,Aurora,5,High and Dry,Radiohead,Rock,The Bends,500
11/5/2025 21:08:40,Aurora,8,Ordinary World,Duran Duran,Rock,Duran Duran,500
11/5/2025 21:12:39,Aurora,9,Brianstorm,Arctic Monkeys,Rock,Favourite Worst Nightmare,500
11/5/2025 21:13:16,Aurora,10,No Surprises,Radiohead,Rock,Ok Computer,500
11/6/2025 15:16:10,Mia,10,The Chain,Fleetwood Mac,Rock,Rumors,400
11/7/2025 20:59:38,Lily,9,The Kill (Bury Me),Renascentia,Rock,The Kill (Bury Me) - Single,700
11/7/2025 23:15:56,Dylan,1,Closer to the sun,Slightly Stoopid,Rock,Closer to the sun,200
11/7/2025 23:22:43,Dylan,10,The Joker,Steve Miller Band,Rock,Single,300
11/3/2025 15:30:07,Isabella,7,Afterlife,Evanescence,Rock,"Afterlife (From the Netflix Series ""Devil May Cry"")",200
11/6/2025 4:13:27,Samuel,2,Something,The Beatles,Rock,Abbey Road,2
11/4/2025 18:02:39,Theodore,8,Space Song,Beach House,Rock,Depression Cherry,32
11/7/2025 20:54:47,Lily,3,Event Horizon (Ближе к тебе),Wildways,Rock,Anna,200
11/7/2025 22:37:13,Alexander,9,Die With A Smile,"Lady Gaga, Bruno Mars",Rock,Die With A Smile,10
11/3/2025 15:22:46,Amelia,10,The Rubberband Man,The Spinners,Soul,Happiness is Being with the Spinners,600
11/3/2025 18:48:05,William,4,Reminds Me of You,Benson Boone,Soul,American Heart,45
11/7/2025 13:14:34,Chloe,8,Fresh Erect (Kohta Takahashi Remix Instramental),Funkin' Sound Team & Kawai Sprite,Soundtrack,"Friday Night Funkin', Vol 3 Original game Soundtrack (Instrumentals)",49
11/7/2025 13:40:43,Chloe,3,All Star Move: GUM,"SEGA, Richard Jacques",Soundtrack,"Sonic & All-Stars Racing Transformed (Original Soundtrack), Vol.2",73
11/7/2025 16:45:05,Hudson,2,GUARDIAN,Toby Fox,Soundtrack,DELTARUNE Chapter 3+4,44
11/7/2025 16:46:07,Hudson,3,The place where it rained,Toby Fox,Soundtrack,DELTARUNE Chapter 3+4 Soundtrack,20
11/7/2025 16:56:29,Hudson,10,Skarrsinger Karmelita,Christopher Larkin,Soundtrack,Hollow Knight: Silksong,22
11/7/2025 16:57:27,Hudson,9,Finale,Toby Fox,Soundtrack,UNDERTALE,110
11/7/2025 13:32:01,Chloe,6,Soulwalker,Mittsies,Soundtrack,AWARIA Orignal Soundtrack -EP,54
11/7/2025 13:09:02,Chloe,9,Dragon Road - Day,SEGA &b Kenichi Tokoi,Soundtrack,Planetary Pieces Vol 2,44
11/3/2025 15:15:53,Isabella,3,117,Halo and Kazuma Jinnouchi,Soundtrack,Halo 4 OST,450
11/3/2025 15:13:06,Isabella,1,Genesong,"Brian Lee White, Paul Lipson, Brian Trifon, Lennie Moore, Tom Salta, Halo, Steve Vai",Soundtrack,Halo 2 Anniversary,5000
11/3/2025 15:13:06,TestA,1,Genesong,"Brian Lee White, Paul Lipson, Brian Trifon, Lennie Moore, Tom Salta, Halo, Steve Vai",Soundtrack,Halo 2 Anniversary,5000
11/3/2025 15:57:03,TestA,10,Hotel California,Eagles,Rock,Hotel California,55
11/3/2025 15:13:06,TestB,1,Genesong,"Brian Lee White, Paul Lipson, Brian Trifon, Lennie Moore, Tom Salta, Halo, Steve Vai",Soundtrack,Halo 2 Anniversary,5000
